cardExpire,cardNumber,cardType,currency,iban,user_id
05/28,3693233511855044,Diners Club International,GBP,GB74MH2UZLR9TRPHYNU8F8,1
01/30,3530633803003665,JCB,USD,DE26362283149158045865,2
10/27,6011212053392887,Discover,EUR,DE12191213468288004835,3
07/30,5303440212268149,Mastercard,CAD,DE01300746880579852937,4
07/30,5237188057591130,Mastercard,NZD,DE19182355652037133559,5
06/30,376320072452632,American Express,NZD,DE21153814367894194071,6
12/29,5189302549548693,Mastercard,PKR,DE67517655968963441488,7
08/30,5349974103330333,Mastercard,EUR,FR94ZM2MMGL1EVYQE1ZLCVCFH83,8
10/27,3598603288061479,JCB,GBP,GB26PND7D83JTW4HL6LZ71,9
03/30,3602093733952858,Diners Club International,USD,DE12934874962442340025,10
12/29,3614993744940956,Diners Club International,USD,DE65581882748067758114,11
02/29,343932350909214,American Express,CAD,DE77118774979880310165,12
03/30,6262462852322850,UnionPay,PKR,DE13437032020581217601,13
12/27,3634388457177035,Diners Club International,PKR,DE54092147842698685963,14
05/30,6228256225004929,UnionPay,PKR,DE63711022986572448914,15
08/29,378024038311910,American Express,USD,DE42403186906981858976,16
01/29,3514443781649095,JCB,GBP,GB74239MLVNQ0UB9ANTFRM,17
04/30,6258651210557142,UnionPay,EUR,ES1171429445321693077621,18
01/27,6011399019022417,Discover,EUR,IT11QP2B5J81QM1FBX029VI5DD68O,19
07/30,376760688512826,American Express,GBP,GB27CM0H0MNPXSPDGA0A1O,20
09/27,5551259848327064,Mastercard,EUR,ES3893300143587765232049,21
05/28,3648138556543460,Diners Club International,EUR,DE82018985741195770313,22
09/30,347036238254235,American Express,CNY,DE77762461851744284392,23
12/29,4021840414995098,Visa,CAD,DE43275561962007561223,24
06/27,4488823564436432,Visa,EUR,ES5874149276753342261515,25
08/28,6011735364912274,Discover,CAD,DE27147353096476220032,26
05/29,5485409595328150,Mastercard,NZD,DE71341603969952506034,27
12/28,5551782139834613,Mastercard,CAD,DE49484285539189712621,28
11/29,3625097026040498,Diners Club International,EUR,DE08820336197191865470,29
06/28,5274971895809762,Mastercard,PKR,DE91480955939051635497,30
01/27,3588616470416493,JCB,JPY,DE08956804884867505571,31
11/30,6280913845065848,UnionPay,PKR,DE33352338606183908762,32
04/30,5286984910566529,Mastercard,AUD,DE50017878346071444444,33
10/29,6011644388587262,Discover,PKR,DE22094731078602211293,34
11/29,4756122303786727,Visa,INR,DE51526648161394223010,35
06/28,4037963159224243,Visa,PKR,DE87469202063239630716,36
01/27,5279759194646844,Mastercard,NZD,DE89950192498980441460,37
10/28,372071021242970,American Express,CAD,DE33897381873184367321,38
08/29,6230640220238796,UnionPay,NZD,DE79239027221761620503,39
06/27,6250582996220803,UnionPay,EUR,ES8228923010515786814573,40
